Date,Cluster,SolarMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindMWh,ThermalPowerMWh,TotalWindProduction,WD50M,WS50M,WD10M,WS10M,PS,wind_shear,wind_u_10m,wind_v_10m,wind_u_50m,wind_v_50m
2023-01-09,9,0.0,216.463,0.0,83.76376599999999,17311.425767999997,300.226766,197.88,6.24,197.31,4.77,99.43,0.1669116126852057,-4.5539613731242925,-1.4192729871634648,-5.938618193676366,-1.9158324430221096
2023-01-09,10,0.055,33.5328,5303.678626,1565.1153439999998,7348.82899,6902.32677,192.81,7.31,191.69,5.42,98.9,0.1858707664328003,-5.3075793831172575,-1.0981808102077877,-7.128059011925425,-1.620763623267978
2023-01-10,1,0.08299999999999999,0.0,0.0,2174.2902,989.0395330000001,2174.2902,223.56,8.93,222.62,7.01,100.63,0.1504119493965388,-5.158383983630663,-4.746701452316403,-6.471152452570326,-6.153786308899022
2023-01-10,2,0.93,0.0,0.0,3399.413513,3598.1350350000002,3399.413513,219.44,8.6,218.44,5.65,100.09,0.2610269429193119,-4.425416872342422,-3.512575338122589,-6.641696233679189,-5.463320523228678
2023-01-10,3,0.0,179.7724,4446.031154,5093.98992,1003.7415139999999,9719.793474,224.75,8.37,223.88,6.25,100.69,0.1814747984352785,-4.504956941723667,-4.332189164061946,-5.944251593966897,-5.892603243696455
2023-01-10,4,0.08600000000000001,0.0,0.0,1994.103698,2272.84787,1994.103698,223.31,8.94,222.31,6.27,100.25,0.2204243057776976,-4.63675040286306,-4.220597789596782,-6.505218255287826,-6.13235154333719
2023-01-10,5,0.008,2142.18052,2978.836729,9245.179796,4932.707148,14366.197044999999,224.38,9.83,223.5,6.87,100.39,0.2226086667630225,-4.983321928854416,-4.728995935016091,-7.025666779790917,-6.875238635810566
2023-01-10,6,0.208,17.75,0.0,5370.946679,4603.596317,5388.696679,219.44,8.68,218.62,6.24,100.34,0.2050662182996365,-4.875328534429516,-3.894710731412199,-6.7034794544576,-5.51414210949127
2023-01-10,7,0.007,582.28111,0.0,7551.967658,860.403085,8134.2487679999995,220.44,9.27,219.62,6.24,100.2,0.2459263536285273,-4.806613923639284,-3.979203763201499,-7.05526396569588,-6.012998451218264
2023-01-10,8,0.0,0.0,0.0,140.629455,154.883,140.629455,241.5,7.36,241.06,6.41,101.04,0.0858688991606968,-3.101757046367929,-5.609563550340338,-3.51188847551072,-6.468093949192065
2023-01-10,9,0.0,287.40340000000003,0.0,150.663189,16521.562648000003,438.066589,226.81,7.95,226.06,6.03,100.73,0.1717524582909095,-4.184245333946382,-4.342003107477923,-5.4411379384854985,-5.7962503339981595
2023-01-10,10,0.14200000000000002,38.3998,5821.224552,2735.317718,6473.324571,8594.94207,222.0,8.59,221.06,6.29,100.14,0.1936313683654292,-4.742799280249614,-4.131580204626766,-6.383614050850817,-5.747831908622592
